id	nil_name	title1	text1	link1	title2	text2	link2
16	Gorla – Precotto	Precotto M1	fermata della metropolitana su una strada molto trafficata e frequentata come viale Monza; nelle vicinanze si trovano diversi esercizi commerciali (supermercato, caffè, bar, gelateria), la fermata del tram “Precotto M1” su via Giuseppe Pelitti, del bus in via Cislaghi (via più silenziosa e forse più adatta ad un'intervista e la “passeggiata monsignor Egidio Vergani”, alberata e con diverse panchine	https://maps.app.goo.gl/GesE8safExBYGXWRA	Parco di Villa Finzi	parco tranquillo e di medie dimensioni con alberature, panchine e area giochi per bambini, nelle immediate vicinanze di viale Monza, della fermata “Gorla” della M1 e dell’alzaia del naviglio della Martesana	https://www.google.com/maps/search/?api=1&query=Parco%20di%20Villa%20Finzi%2C%20Milano
17	Adriano	Esselunga via Adriano	grosso supermercato, uno dei principali del quartiere, adiacente ad altri grandi punti vendita più specializzati, il tutto accessibile da uno spazio pedonale fra i due edifici (dove si trova il “matitone”), utile luogo per interviste; c’è un largo parcheggio a fianco dei due edifici, oltre che il capolinea del 7 “Adriano-Vipiteno”	https://www.google.com/maps/search/?api=1&query=Esselunga%20via%20Adriano%2C%20Milano	Giardini Franca Rame	grande parco con area per bambini, ai limiti di un’area di recente urbanizzazione, con palazzi di media altezza a gruppi di due o tre e la linea tranviaria di recente aperture (fermate Tremelloni-Tognazzi e Tremelloni-Gassman della linea 7); il parco prosegue a nord della linea tranviaria, con aree dotate di giochi per bambini e panchine, oltre che un campo da basket	https://www.google.com/maps/search/?api=1&query=Giardini%20Franca%20Rame%2C%20Milano
18	Cimiano - Rottole - Q.re Feltre	Ingresso Parco Lambro / skatepark	lo skatepark è piuttosto apprezzato e si trova vicino all’ingresso del grande parco a nord-est di Milano, che è perlopiù adibito a bosco, quindi un poco selvatico; potrebbe essere non così facile ricevere risposte alle interviste nello skatepark, ma il campione sarebbe sicuramente utile da sondare	https://www.google.com/maps/search/?api=1&query=Ingresso%20Parco%20Lambro%20/%20skatepark%2C%20Milano	IRCCS Ospedale San Raffaele-Cascina Gobba	grande ospedale al confine comunale, vicino a parcheggi e alla la stazione della metro “Cascina Gobba” (con altri parcheggi e bus); la stazione si raggiunge camminando su via Padova, checché ne dica Google maps: ci sono marciapiedi e attraversamenti, per quanto non sia una strada troppo piacevole	https://www.google.com/maps/search/?api=1&query=IRCCS%20Ospedale%20San%20Raffaele-Cascina%20Gobba%2C%20Milano
19	Padova - Turro – Crescenzago	Anfiteatro Martesana	anfiteatro che ospita diversi spettacoli (alcuni molto seguiti), all’interno del parco “Martiri della Libertà Iracheni” sul naviglio della Martesana, con frequentatori di tutti i tipi, panchine e piccola area giochi per bambini	https://www.google.com/maps/search/?api=1&query=Anfiteatro%20Martesana%2C%20Milano	Via Padova angolo via Arici	all’angolo di una strada commerciale e residenziale piuttosto importante; vicino ad attività commerciali quali  Conad (che ha un parcheggio esterno), Aumai, diversi piccoli locali e negozi agli angoli	https://www.google.com/maps/search/?api=1&query=Via%20Padova%20angolo%20via%20Arici%2C%20Milano
20	Loreto - Casoretto – NoLo	Piazza Spoleto / Arcobalena	piazza semi-pedonalizzata come parte del programma “piazze aperte”, con sedute e di frequente utilizzata da bambini con genitori; vicina a bar, piccoli esercizi commerciali ed al capolinea del tram 1, in un contesto di urbanizzazione densa e matura, tipica del primo Novecento	https://www.google.com/maps/search/?api=1&query=Piazza%20Spoleto%20/%20Arcobalena%2C%20Milano	Bar Mosso - via Angelo Mosso	bar con molte sedute esterne, vicino ad alcune attività commerciali su via Padova e adiacente al Parco Trotter, punto di riferimento dell’area circostante	https://www.google.com/maps/search/?api=1&query=Bar%20Mosso%20%28via%20Angelo%20Mosso%29%2C%20Milano
21	Buenos Aires - Porta Venezia - Porta Monforte	Bocciofila Amici delle Bocce - casa dell’acqua -  Morgagni	area verde all’interno dell’ampio parterre di via Morgagni, con alberature e diverse panchine, vicino alla stazione “Lima” della M1 e al recentemente rinnovato piazzale Lavater, dotato di altre sedute; vicino corso Buenos Aires, in un contesto di urbanizzazione tipico del tardo Ottocento	https://maps.app.goo.gl/k2A7rdJDFaoe7h4s8	Caffè degli artisti - Bar Basso (via Plinio)	locali con sedute esterne, su un trafficato incrocio della circonvallazione, circondato da diversi negozi, speso ai piani terra di palazzi di 4/8 piani	https://www.google.com/maps/search/?api=1&query=Caff%C3%A8%20degli%20artisti%20-%20Bar%20Basso%20%28via%20Plinio%29%2C%20Milano
22	Città studi	Giardini di Piazza Leonardo Da Vinci	ampio spazio verde di fronte all’ingresso del politecnico, solitamente frequentato sia dagli studenti in ingresso e pausa che dai residenti, grazie alle numerose panchine; serviti da una fermata tranviaria (linee 19 e 33); molto frequentato il bar su via Ampère, a nord della piazza, soprattutto se il tempo è soleggiato	https://maps.app.goo.gl/LM26iHXK6AUCDvES9	Stazione FS Lambrate - piazza Bottini	importante snodo trasportistico, sempre ben utilizzato: stazione ferroviaria, fermata di tram e metro, oltre che capolinea di diversi autobus e sede di molti negozi nelle vicinanze, specie su via Pacini (parcheggio su parterre regolarmente tollerato, nonostante il divieto), oltre che di bar con dehor	https://www.google.com/maps/search/?api=1&query=Stazione%20FS%20Lambrate-piazza%20Bottini%2C%20Milano
23	Lambrate – Ortica	Piazza Vigili del Fuoco	alla periferia della città, urbnizzazione semi-recente: piccola piazza pdeonale vicino a unEselunga, MediaWorld, un bar e una palestra; frequentato da bambini e famiglie; un viale pedonale (viale Maria Cutuli e con molte panchine la collega al parco della Lambretta, affiancato da alcune aree giochi per bambini e palazzine residenziali	https://www.google.com/maps/search/?api=1&query=Piazza%20Vigili%20del%20Fuoco%2C%20Milano	Mercato comunale di via Rombon	un mercato coperto riaperto dopo diversi anni di lavori e ristrutturazioni su una strada importante di ingresso a Milano (via Rombon); vicino a una piccola area giochi	https://www.google.com/maps/search/?api=1&query=Mercato%20comunale%20di%20via%20Rombon%20Milano
24	Parco Forlanini – Cavriano	Via Tucidide	di fronte alla birreria “Impronta Birraia” e accanto ai binari della linea per Venezia, è un piccolo agglomerato di esercizi commerciali al limitare dell’urbanizzato, piuttosto raggiungibile in auto, sia dal parcheggio di fronte che su quello di  via Cavriana; c’è una ciclabile, prolungata qualche anno fa fino a San Babila con i lavori di M4, discretamente utilizzata	https://maps.app.goo.gl/a1SH8DjJrnUjd72s5	Parco Forlanini	importante e grande parco, ben utilizzato con il bel tempo, con moltissimi percorsi, panchine e un campo da baseball; chi arriva in auto (non facile da raggiungere in autobus, solo una linea su viale Forlanini entra ca via Taverna, dove c’è un piccolo parcheggio (possibile categoria automobilisti per necessità)	https://maps.app.goo.gl/dweLjx5Hqv12h4Mg6
25	Corsica	Largo Porto di Classe	luogo di transizione tra una zona riqualificata con spazi equamente ripartiti e una zona devastata dalle auto in sosta irregolare, servita dalla fermata Argonne della linea M4; il largo parterre viale Argonne (riqualificato in occasione dei lavori per la costruzione della metropolitana è molto ben utilizzato, soprattutto nei pomeriggi dei fine settimana, con numerose aree gioco, di allenamento e campi da basket/calcio gli edifici che fiancheggiano la via e i largo sono tipici dell'urbanizzazione di metà Novecento, con negozi ai piani terra di molti edifici e larghi marciapiede	https://www.google.com/maps/search/?api=1&query=Largo%20Porto%20di%20Classe%2C%20Milano	Forlanini M4 - via MEzzofanti	piccola area verde, ricavata dai lavori di scavo della M4; vicino alla fermata metropolitana e ferroviaria “Forlanini”, oltre che a un distributore e diverse aree di parcheggio lungo la strada, poco distante dai negozi di media grandezza (MD e Tigotà su via Negroli )	https://maps.app.goo.gl/1dCqCkXkhzPZHpPB9
26	XXII Marzo	Via Cadore - Parco Formentano	parco ben frequentato, vicino alla fermata tranviaria “via Cadore-XXII Marzo” e con aree per jogger e famiglie con bambini; via Cadore ha molta sosta irregolare, in parte recentemente protetta da tronchi di vecchi alberi, oltre cha alcuni bar e una fermata dei bus	https://maps.app.goo.gl/f1sCoKtH1T4kimij9	Viale Campania (per Via libera 1, tra via Marconi, Melloni e Archimede, che può essere interessante visitare, essendo più tranquille e silenziose)	trafficata strada di tangenza, con alcune fermate filoviarie discretamente utilizzate (linea 93 e molte auto in divieto di sosta su parterre urbanistica tradizionale di metà Novecento, con palazzine di 6/8 piani e qualche negozio al piano terra	https://maps.app.goo.gl/oYHazkU6UFQ2bQRk8
27	Porta Romana	Arco di Porta Romana	servita dalle metropolitana M3 e dal tram 9, al centro di un trafficato incrocio all’imbocco di Corso Lodi, su cui si trovano bar ed esercizi commerciali e un PAM ben frequentato	https://www.google.com/maps/search/?api=1&query=Arco%20di%20Porta%20Romana%2C%20Milano	Piazzale Libia	emblema dell'autocentrismo, una rotonda da svincolo autostradale nel cuore di un quartiere vivo e denso: si tratta di un’area di incrocio relativamente larga, con ampli parterre con sedute e giochi	https://www.google.com/maps/search/?api=1&query=Piazzale%20Libia%2C%20Milano
28	Umbria - Molise – Calvairate	Piazzale Martini	parco di buone dimensioni nel quartiere di Calvairate, circondato da edifici tipici dell'urbanizzazione della prima parte del Novecento e strade solitamente piuttosto frequentate da un discreto traffico pedonale, vista anche la fermata tranviaria del bus 66; le strade attorno hanno diverse attività e bar a livello stradale, oltre alla biblioteca dal quartiere	https://www.google.com/maps/search/?api=1&query=Piazzale%20Martini%2C%20Milano	Piazzale Lodi	affollato incrocio, sia stradale che di trasporto pubblico, grazie alla fermata della M3 “Lodi TIBB” e le linee filoviarie 90/91 e 92 su viale Umbria; grande esercizio assortimento di negozi all’interno del “Centro Commerciale Piazza Lodi”, con ingresso all’angolo fra viale Umbria e via Colletta; nelle vicinanze, la recentemente rinnovata stazione “Milano Scalo Romana”, con ingresso più tranquillo su via Sannio e più automobilisticamente trafficato su Corso Lodi	https://www.google.com/maps/search/?api=1&query=Piazzale%20Lodi%2C%20Milano
29	Ortomercato	via Lombroso - fermata bus 66	utile luogo per interviste il sabato mattina con Ortomercato, mercato Floricolo e mercato Ittico aperti al pubblico, in una zona altrimenti prettamente industriale	https://maps.app.goo.gl/3dhizYda2UeQR65H7	Parco Emilio Alessandrino	parco di discrete dimensioni, con area giochi per bambini, panchine alberate e aree cani ad entrambe le estremità, oltre cha alcuni orti condivisi e un’area coperta con tavoli e sedute nell’angolo sud-est del parco; non distante dalla fermata di Piazzale Cuoco sulla linea tranviaria 16	https://www.google.com/maps/search/?api=1&query=Parco%20Emilio%20Alessandrino%2C%20Milano
30	Taliedo - Morsenchio - Q.re Forlanini	Piazza Ovidio	piazzale sulla larga strada principale dei quartieri di Taliedo e Forlanini perlopiù urbanizzati negli anni Sessanta, circondata da un’Esselunga, farmacie, bar, qualche negozio e una piccola area cani, oltre che il vicino parco Guido Galli; servita dalla ben utilizzata fermata tranviaria omonima della linea 27, strutturata e con pensilina e barriere	https://www.google.com/maps/search/?api=1&query=Piazza%20Ovidio%2C%20Milano	Viale Ungheria-via Giraud	sulla strada principale del quartiere Morsenchio, con un Carrefour, un panificio, alcuni piccoli negozi, edificata soprattutto negli anni Sessanta; servita da fermate di bus e dal capolinea del  tram 27	https://www.google.com/maps/search/?api=1&query=Viale%20Ungheria-via%20Giraud%2C%20Milano
33	Rogoredo - Santa Giulia	Parco Trapezio di Santa Giulia	grande parco inerbito in un’area di nuova edificazione, con alcune aree gioco e sedute; servita da diverse linee di autobus, la stazione metropolitana e ferroviaria di Rogoredo FS, oltre che da un parcheggio sotterraneo	https://www.google.com/maps/search/?api=1&query=Parco%20Trapezio%20di%20Santa%20Giulia%20Milano	Via Bruno Cassinari	principale via del quartiere di Santa Giulia, pedonalizzata e con diverse residenze, bar, panchine ai suoi lati	https://www.google.com/maps/search/?api=1&query=Via%20Bruno%20Cassinari%2C%20Milano
35	Lodi-Corvetto	Corvetto M3	fermata della M3 che serve l’omonimo piazzale, sovrastato dal trafficato cavalcavia del raccordo autostradale e circondato da molte attività commerciali, soprattutto verso  e su viale Martini, dove si trovano una stazione di bike-sharing “BikeMi” e una piccola area pedonale che ospita un’edicola e alcune bancarelle e un piccolo chiosco esterno (apertura alle 17.30	https://maps.app.goo.gl/G5TA4YE9m88EvxPJA	Piazzale Gabriele Rosa	larga area verde all’interno di una rotonda dotata di un marciapiede a tratti piuttosto largo, con spazi gioco per bambini e numerose panchine che proseguono su viale Omero; attraversato da un lungo percorso ciclabile che qui arriva da piazzale Lodi e servito dalla linea filoviaria 93; circondato da palazzi, che ospitano numerose attività commerciali ai rispettivi piani terra, e una chiesa	https://www.google.com/maps/search/?api=1&query=Piazzale%20Gabriele%20Rosa%2C%20Milano
36	Scalo Romana	Piazza Adriano Olivetti	piazza pedonale e parzialmente inverdita, con diverse lunghe panchine e un ristorante con sedute esterne; sita in un’area di recentissima urbanizzazione, dietro la Fondazione Prada, al cui ingresso su via Orobia il flusso pedonale può essere significativo, e con alcuni uffici ai suoi lati	https://www.google.com/maps/search/?api=1&query=Piazza%20Adriano%20Olivetti%2C%20Milano	Parco Autieri	largo parco cittadino, con panchine, aree giochi per bambini, panchine e campi da basket e calcio; a circa 500 metri, al limitare della parte più densa dsi trova piazza Angilberto II, parte del programma “piazze aperte”, che ha portata ad una risistemazione degli spazi e parziali pedonalizzazioni, prima tattiche e poi definitive, con panchine distribuite su tutta la piazza e campi da ping pong.	https://www.google.com/maps/search/?api=1&query=Parco%20Autieri%20Milano
37	Morivione	Esselunga di Via Ripamonti	grande supermercato, punto focale della zona, che è di recente urbanizzazione; ha un grande parcheggio di fronte, non lontano dalla discoteca “Magazzini Generali" e da un negozio di bici (chiuso la domenica), all’angolo con via Buzzi; non ci sono densi insediamenti residenziali adiacenti, ma si trovano diverse torri, ciascuna circondata da verde, nelle immediate vicinanze, configurazione abbastanza tipica di fine Novecento - primi anni Duemila; servita dalla linea tranviaria 24 su via Ripamonti	https://www.google.com/maps/search/?api=1&query=Esselunga%20Carlo%20de%20Angeli%2C%20Milano	Parco Memorie industriali	larga area verde a nord di torri residenziali (di recente urbanizzazione), con aree cani, fitness e con giochi per bambini	https://www.google.com/maps/search/?api=1&query=Parco%20Memorie%20industriali%2C%20Milano
38	Vigentino - Q.re Fatima	Via Ripamonti-Sibari	incrocio sulla strada principale del quartiere Vigentino, in un insieme di edifici di inizio Novecento e degli anni 60/70 circondato da bar con sedute esterne, qualche piccolo negozio, e con la LIDL non molto lontana in direzione di di via Quaranta; servita dalla linea tranviaria 24, molto utilizzata soprattutto in direzione di Piazza Fontana, verso il centro	https://www.google.com/maps/search/?api=1&query=Via%20Ripamonti-Sibari%2C%20Milano	Piazza Madonna di Fatima	piazza antistante la chiesa omonima, vicina al parco Ripamonti-Sabini, mercatino dell'usato, negozi su via Val di sole e piazzale Madonna di Fatima, non lontano si trova anche il "Parco Grande”; i negozi sono riparati sotto porticati, al piano terra di edifici degli anni Sessanta/Ottanta; servita dalla linea tranviaria 24, su via Ripamonti	https://www.google.com/maps/search/?api=1&query=Piazza%20Madonna%20di%20Fatima%2C%20Milano
41	Gratosoglio - Q.re Missaglia - Q.re Terrazze	Incrocio via Saponaro-via Costantino Baroni	incrocio circondato da alcune attività, come una farmacia, due bar con larghe sedute esterne e un panificio, con marciapiede alberato su via Baroni; servita da alcune  fermate del bus 79	https://maps.app.goo.gl/nz2j4waVWw5fLFAb8	Eurospin via Saponaro	supermercato vicino alla chiesa “santa Maria madre della Chiesa, di fronte a due palazzine di case ALER; servita dalle linee tranviarie 3 e 15, con fermate piuttosto utilizzate, soprattutto in direzione centro	https://www.google.com/maps/search/?api=1&query=Eurospin%20via%20Saponaro%2C%20Milano
42	Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata	Parco Chiesa Rossa	parco alberato di discrete dimensioni, con aree gioco per bambini, campo da basket, panchine, un bar con estesa area porticata esterna e la biblioteca di quartiere (chiusa la domenica	https://www.google.com/maps/search/?api=1&query=Parco%20Chiesa%20Rossa%2C%20Milano	Piazza Abbiategrasso - Chiesa Rossa M2	importante snodo del trasporto pubblico di zona, con il capolinea della M2, fermate tranviarie delle linee 3 e 15; attraversata dalla larga e trafficata via dei Missaglia, con alcune attività commerciali sul lato della piazza verso via Medeghino e un parcheggio di interscambio ATM	https://www.google.com/maps/search/?api=1&query=Piazza%20Abbiategrasso%20-%20Chiesa%20Rossa%20M2%2C%20Milano
43	Tibaldi	GetFIT - Via Meda	su una delle principali direttrici della zona, servita da due ben utilizzate fermate linea tranviaria 3; diverse piccole attività commerciali (ai piani terra dei rispettivi palazzi) e un supermercato su viale Giovanni da Cermenate, dove si trovano alcune aree verdi attrezzate	https://www.google.com/maps/search/?api=1&query=GetFIT%20-%20Via%20Meda%2C%20Milano	Esselunga via Pezzotti	grande supermercato su un’altra strada principale del quartiere, attraversato dalla linea tranviaria 15 (la fermata “Giovanni da Cermenate” è piuttosto ben utilizzata); mediana foltamente alberata, con negozi e bar ai piani terra di via Pezzotti e una chiesa con piccolo sagrato all’angolo con via Carcano	https://www.google.com/maps/search/?api=1&query=Esselunga%20via%20Pezzotti%2C%20Milano
44	Porta Ticinese – Conchetta	Parco Baden Powell	parco molto frequentato, anche da famiglie nel weekend.	https://maps.app.goo.gl/yvyEum9XEwiXnAT36	Piazzale Stazione Genova	il piazzale di fronte alla stazione ha molto potenziale, e sono stati fatti degli interventi di recente. Buona frequentazione, sicuramente un buon posto per effettuare le interviste.	https://maps.app.goo.gl/TNLVWVTVR42fFE6U9
45	Moncucco - San Cristoforo	Via L. Il Moro - Via Pestalozzi	fermata tranviaria della linea 2, sul Naviglio Grande e una strada con un buon numero di attività commerciali; attraversato il vicina al ponte di san Cristoforo, sul lato opposto del naviglio, si trova la chiesa di san Cristoforo è molto più tranquillo e semi-pedonalizzatpo	https://www.google.com/maps/search/?api=1&query=Via%20L.%20Il%20Moro%20Via%20Pestalozzi%2C%20Milano	Parco La Spezia	grande parco con campi da basket, giochi per bambini e un’area coperta, spesso usata come campo da gioco; vicino al Penny di via Moncucco e fiancheggiato dalla rampa di accesso alla A7	https://www.google.com/maps/search/?api=1&query=Parco%20La%20Spezia%20Milano
46	Barona	Ospedale San Paolo	importante ospedale della zona, con molti parcheggi che lo circondano; zona non residenziale, visto che l’altro prominente edificio è la “Casa di riposo Famagosta”	https://www.google.com/maps/search/?api=1&query=Ospedale%20San%20Paolo%2C%20Milano	Parco Cascina Bianca	grande parco circondato da edifici residenziali, perlopiù intorno ai 6/8 piani; ai confini dell’area edificata del territorio comunale; molte panchine e alberi, alcune aree gioco per bambini e piccoli negozi sul lato sud di via Cascina Bianca	https://www.google.com/maps/search/?api=1&query=Parco%20Cascina%20Bianca%2C%20Milano
48	Ronchetto sul Naviglio - Q.re Lodovico il Moro	Centro commerciale Tre castelli	grande centro commerciale in un’area di urbanizzazione tipica degli anni 70 e 80: palazzine alte 8/10 piani, marciapiede stretti, aree alberate attorno agli edifici; parcheggio di discrete dimensioni di fronte, piccola area verde con panchine a fianco, sul lato dove si trova anche un bar sotto porticato, e chiesa sul lato opposto della strada; fermata bus 95, senza pensiline	https://www.google.com/maps/search/?api=1&query=Centro%20commerciale%20Tre%20castelli%20Milano	Parco Andrea Campagna	grande area verde, effettiva continuazione del parco agricolo sud Milano, con panchine nella zona alberata, campo da calcio, pallavolo e disc golf verso via Campari; palazzine dense su un lato, dove si trova la fermata autobus e un piccolo bar con sedute esterne	https://www.google.com/maps/search/?api=1&query=Parco%20Andrea%20Campagna%20-%20Teramo%2C%20Milano
49	Giambellino	San Cristoforo M4	capolinea della nuova M4 e importante fermata ferroviaria (linea per Mortara) e tramviaria (linea 14, piazza Tirana, che ospita anche una piccola area verde). bar e  ristoranti nelle immediate vicinanze	https://www.google.com/maps/search/?api=1&query=San%20Cristoforo%20M4%2C%20Milano	Biblioteca Lorenteggio	biblioteca di quartiere, in un’area verde con sedute e panchine , area giochi e palestra all’aperto sul lato opposto di largo Giambellino; poco lontano dalla fermata della linea tranviaria 14, molto ben utilizzata, su via Giambellino, la tradizionale strada principale del quartiere	https://www.google.com/maps/search/?api=1&query=Biblioteca%20Lorenteggio%2C%20Milano
50	Porta Genova	Via Tortona - Mudec	gran giro di persone, molte probabilmente di fuori Milano	https://www.google.com/maps/search/?api=1&query=Mudec%20Milano	Parco Solari	verso la fermata della metro di coni zugna la zona è stata recentemente riqualificata, diventa un buon paragone per il resto delle strade intorno al parco. Ottimo giro di persone	https://www.google.com/maps/search/?api=1&query=Parco%20Solari%2C%20Milano
